date,code,close
2023-06-20,0050,130.55
2023-06-20,0051,66.15
2023-06-20,0052,116.85
2023-06-20,0053,67.6
2023-06-20,0055,23.23
2023-06-20,0056,32.48
2023-06-20,0057,94.95
2023-06-20,0061,18.32
2023-06-20,006203,63.45
2023-06-20,006204,87.6
2023-06-20,006205,30.25
2023-06-20,006206,28.68
2023-06-20,006207,23.97
2023-06-20,006208,75.4
2023-06-20,00631L,138.45
2023-06-20,00632R,4.77
2023-06-20,00633L,36.51
2023-06-20,00634R,4.56
2023-06-20,00635U,24.45
2023-06-20,00636,20.45
2023-06-20,00636K,6.65
2023-06-20,00637L,14.42
2023-06-20,00638R,9.61
2023-06-20,00639,12.17
2023-06-20,00640L,39.24
2023-06-20,00641R,8.09
2023-06-20,00642U,14.97
2023-06-20,00643,14.39
2023-06-20,00645,30.91
2023-06-20,00646,42.14
2023-06-20,00647L,62.55
2023-06-20,00648R,6.67
2023-06-20,00650L,12.87
2023-06-20,00651R,8.41
2023-06-20,00652,30.69
2023-06-20,00653L,45.7
2023-06-20,00654R,7.73
2023-06-20,00655L,25.68
2023-06-20,00656R,8.58
2023-06-20,00657,39.3
2023-06-20,00657K,12.72
2023-06-20,00660,31.9
2023-06-20,00661,42.39
2023-06-20,00662,59.85
2023-06-20,00663L,127.85
2023-06-20,00664R,5.38
2023-06-20,00665L,7.91
2023-06-20,00666R,14.7
2023-06-20,00668,38.4
2023-06-20,00668K,12.43
2023-06-20,00669R,7.87
2023-06-20,00670L,85.9
2023-06-20,00671R,4.86
2023-06-20,00673R,9.27
2023-06-20,00674R,12.26
2023-06-20,00675L,55.75
2023-06-20,00676R,2.97
2023-06-20,00678,26.16
2023-06-20,00680L,11.03
2023-06-20,00681R,18.58
2023-06-20,00682U,20.45
2023-06-20,00683L,21.35
2023-06-20,00685L,49.42
2023-06-20,00686R,3.21
2023-06-20,00688L,10.94
2023-06-20,00689R,19.24
2023-06-20,00690,27.8
2023-06-20,00692,32.71
2023-06-20,00693U,28.08
2023-06-20,00700,12.86
2023-06-20,00701,25.0
2023-06-20,00702,20.77
2023-06-20,00703,15.63
2023-06-20,00706L,8.44
2023-06-20,00707R,25.78
2023-06-20,00708L,26.62
2023-06-20,00709,25.47
2023-06-20,00710B,17.92
2023-06-20,00711B,16.06
2023-06-20,00712,9.68
2023-06-20,00713,45.43
2023-06-20,00714,18.49
2023-06-20,00715L,12.11
2023-06-20,00717,14.46
2023-06-20,00728,24.92
2023-06-20,00730,19.09
2023-06-20,00731,63.0
2023-06-20,00733,48.8
2023-06-20,00735,30.02
2023-06-20,00736,20.32
2023-06-20,00737,31.2
2023-06-20,00738U,23.28
2023-06-20,00739,22.15
2023-06-20,00752,18.57
2023-06-20,00753L,9.88
2023-06-20,00757,57.9
2023-06-20,00762,44.12
2023-06-20,00763U,24.43
2023-06-20,00770,34.31
2023-06-20,00771,15.84
2023-06-20,00775B,33.43
2023-06-20,00783,20.27
2023-06-20,00830,32.86
2023-06-20,00850,34.15
2023-06-20,00851,32.6
2023-06-20,00852L,19.56
2023-06-20,00861,31.09
2023-06-20,00865B,41.11
2023-06-20,00875,27.92
2023-06-20,00876,30.0
2023-06-20,00878,19.13
2023-06-20,00881,16.96
2023-06-20,00882,11.7
2023-06-20,00885,11.9
2023-06-20,00891,14.08
2023-06-20,00892,13.0
2023-06-20,00893,17.36
2023-06-20,00894,14.83
2023-06-20,00895,19.0
2023-06-20,00896,16.26
2023-06-20,00897,7.88
2023-06-20,00898,7.72
2023-06-20,00899,21.55
2023-06-20,00900,12.2
2023-06-20,00901,14.6
2023-06-20,00902,12.3
2023-06-20,00903,11.93
2023-06-20,00904,13.39
2023-06-20,00905,9.92
2023-06-20,00906,11.9
2023-06-20,00907,14.81
2023-06-20,00908,12.12
2023-06-20,00909,17.61
2023-06-20,00910,16.13
2023-06-20,00911,20.41
2023-06-20,00912,15.55
2023-06-20,00913,17.71
2023-06-20,00915,18.28
2023-06-20,00916,17.82
2023-06-20,00917,15.39
2023-06-20,00918,19.19
2023-06-20,00919,19.43
2023-06-20,00920,17.03
2023-06-20,00921,17.89
2023-06-20,00922,16.21
2023-06-20,00923,16.5
2023-06-20,00924,16.33
2023-06-20,00925,16.96
2023-06-20,00926,15.61
2023-06-20,00927,15.54
2023-06-20,00929,15.46
2023-06-20,01001T,14.78
2023-06-20,01002T,17.6
2023-06-20,01003T,21.55
2023-06-20,01004T,14.15
2023-06-20,01007T,17.1
2023-06-20,01009T,8.5
2023-06-20,01010T,10.03
2023-06-20,020016,21.12
2023-06-20,020018,17.37
2023-06-20,020019,13.91
2023-06-20,02001L,14.88
2023-06-20,02001R,2.25
2023-06-20,02001S,5.6
2023-06-20,020020,7.53
2023-06-20,020022,7.66
2023-06-20,020028,7.4
2023-06-20,020029,5.57
2023-06-20,020030,4.71
2023-06-20,020031,4.71
2023-06-20,020032,5.73
2023-06-20,020034,5.89
2023-06-20,020037,5.22
2023-06-20,1101,38.55
2023-06-20,1101B,49.1
2023-06-20,1102,44.1
2023-06-20,1103,23.35
2023-06-20,1104,30.7
2023-06-20,1108,16.85
2023-06-20,1109,18.5
2023-06-20,1110,19.25
2023-06-20,1201,20.25
2023-06-20,1203,43.75
2023-06-20,1210,51.4
2023-06-20,1213,6.42
2023-06-20,1215,94.5
2023-06-20,1216,78.2
2023-06-20,1217,11.75
2023-06-20,1218,28.5
2023-06-20,1219,21.05
2023-06-20,1220,14.8
2023-06-20,1225,56.9
2023-06-20,1227,40.75
2023-06-20,1229,63.6
2023-06-20,1231,91.1
2023-06-20,1232,151.5
2023-06-20,1233,36.4
2023-06-20,1234,40.65
2023-06-20,1236,23.7
2023-06-20,1256,309.0
2023-06-20,1301,92.6
2023-06-20,1303,78.5
2023-06-20,1304,23.4
2023-06-20,1305,24.0
2023-06-20,1307,25.9
2023-06-20,1308,26.4
2023-06-20,1309,20.1
2023-06-20,1310,16.3
2023-06-20,1312,19.2
2023-06-20,1312A,28.25
2023-06-20,1313,14.4
2023-06-20,1314,9.87
2023-06-20,1315,70.6
2023-06-20,1316,12.25
2023-06-20,1319,54.5
2023-06-20,1321,34.6
2023-06-20,1323,31.65
2023-06-20,1324,11.85
2023-06-20,1325,24.45
2023-06-20,1326,67.9
2023-06-20,1337,8.96
2023-06-20,1338,44.8
2023-06-20,1339,45.7
2023-06-20,1340,13.45
2023-06-20,1341,71.0
2023-06-20,1342,126.5
2023-06-20,1402,32.75
2023-06-20,1409,17.25
2023-06-20,1410,38.35
2023-06-20,1413,9.07
2023-06-20,1414,17.8
2023-06-20,1416,11.9
2023-06-20,1417,13.8
2023-06-20,1418,18.35
2023-06-20,1419,43.5
2023-06-20,1423,23.05
2023-06-20,1432,19.6
2023-06-20,1434,28.0
2023-06-20,1436,61.6
2023-06-20,1437,29.0
2023-06-20,1438,30.7
2023-06-20,1439,22.1
2023-06-20,1440,16.5
