date,code,name,trade_type,price,shares,value
2024-01-02,01010T,京城樂富R1,逐筆交易,10.0,20000000.0,200000000.0
2024-01-02,1101,台泥,配對交易,34.7,5797000.0,201155900.0
2024-01-02,1438,三地開發,配對交易,30.0,690000.0,20700000.0
2024-01-02,2208,台船,配對交易,20.3,500000.0,10150000.0
2024-01-02,2308,台達電,配對交易,309.9,710000.0,220029000.0
2024-01-02,2308,台達電,配對交易,309.88,433000.0,134178040.0
2024-01-02,2317,鴻海,配對交易,104.25,228000.0,23769000.0
2024-01-02,2330,台積電,配對交易,593.0,1028000.0,609604000.0
2024-01-02,2330,台積電,配對交易,592.77,29000.0,17190330.0
2024-01-02,2330,台積電,配對交易,591.16,313000.0,185033080.0
2024-01-02,2330,台積電,配對交易,591.05,60180.0,35569389.0
2024-01-02,2330,台積電,配對交易,591.03,57820.0,34173355.0
2024-01-02,2330,台積電,配對交易,590.75,30000.0,17722500.0
2024-01-02,2330,台積電,配對交易,587.95,29000.0,17050550.0
2024-01-02,2382,廣達,配對交易,214.57,75000.0,16092750.0
2024-01-02,2387,精元,配對交易,53.5,3000000.0,160500000.0
2024-01-02,3034,聯詠,配對交易,509.4,35000.0,17829000.0
2024-01-02,3037,欣興,配對交易,173.31,820000.0,142114200.0
2024-01-02,3037,欣興,配對交易,173.3,656000.0,113684800.0
2024-01-03,2208,台船,配對交易,20.1,654000.0,13145400.0
2024-01-03,2308,台達電,配對交易,304.85,337000.0,102734450.0
2024-01-03,2308,台達電,配對交易,304.81,260000.0,79250600.0
2024-01-03,2317,鴻海,配對交易,104.25,211000.0,21996750.0
2024-01-03,2330,台積電,配對交易,580.04,458000.0,265658320.0
2024-01-03,2330,台積電,配對交易,580.02,796000.0,461695920.0
2024-01-03,2330,台積電,配對交易,579.72,43000.0,24927960.0
2024-01-03,2330,台積電,配對交易,577.86,29000.0,16757940.0
2024-01-03,2330,台積電,配對交易,577.84,56000.0,32359040.0
2024-01-03,2330,台積電,配對交易,577.81,55000.0,31779550.0
2024-01-03,2454,聯發科,配對交易,970.5,54000.0,52407000.0
2024-01-03,2454,聯發科,配對交易,960.81,39680.0,38124941.0
2024-01-03,2454,聯發科,配對交易,960.78,22320.0,21444610.0
2024-01-03,2603,長榮,配對交易,157.73,111000.0,17508030.0
2024-01-03,3711,日月光投控,配對交易,126.78,445000.0,56417100.0
2024-01-03,3711,日月光投控,配對交易,126.76,775000.0,98239000.0
2024-01-03,3711,日月光投控,配對交易,126.75,122000.0,15463500.0
2024-01-03,4938,和碩,配對交易,85.94,191000.0,16414540.0
2024-01-03,5871,中租-KY,配對交易,190.97,86000.0,16423420.0
2024-01-04,1216,統一,配對交易,72.49,229000.0,16600210.0
2024-01-04,2002,中鋼,配對交易,26.7,580000.0,15486000.0
2024-01-04,2208,台船,配對交易,20.1,669000.0,13446900.0
2024-01-04,2308,台達電,配對交易,304.43,54500.0,16591435.0
2024-01-04,2308,台達電,配對交易,304.42,56000.0,17047520.0
2024-01-04,2308,台達電,配對交易,304.4,70500.0,21460200.0
2024-01-04,2330,台積電,配對交易,583.39,29000.0,16918310.0
2024-01-04,2330,台積電,配對交易,580.9,29000.0,16846100.0
2024-01-04,2330,台積電,配對交易,580.09,549000.0,318469410.0
2024-01-04,2330,台積電,配對交易,580.0,96000.0,55680000.0
2024-01-04,2330,台積電,配對交易,579.5,67000.0,38826500.0
2024-01-04,2330,台積電,配對交易,579.39,674655.0,390888360.0
2024-01-04,2330,台積電,配對交易,579.38,150000.0,86907000.0
2024-01-04,2330,台積電,配對交易,579.37,635345.0,368099833.0
2024-01-04,2330,台積電,配對交易,579.19,268000.0,155222920.0
2024-01-04,2345,智邦,配對交易,491.1,97000.0,47636700.0
2024-01-04,2454,聯發科,配對交易,931.03,130000.0,121033900.0
2024-01-04,2454,聯發科,配對交易,931.02,170000.0,158273400.0
2024-01-04,2454,聯發科,配對交易,925.99,123000.0,113896770.0
