date,code,name,trade_type,price,shares,value
2023-06-20,01003T,兆豐新光R1,配對交易,21.5,3209000.0,68993500.0
2023-06-20,1101,台泥,配對交易,38.55,8000000.0,308400000.0
2023-06-20,1605,華新,配對交易,46.9,771000.0,36159900.0
2023-06-20,1605,華新,配對交易,46.8,8162000.0,381981600.0
2023-06-20,2012,春雨,配對交易,30.6,1000000.0,30600000.0
2023-06-20,2303,聯電,配對交易,56.0,400000.0,22400000.0
2023-06-20,2308,台達電,配對交易,370.56,48600.0,18009216.0
2023-06-20,2308,台達電,配對交易,370.55,81000.0,30014550.0
2023-06-20,2308,台達電,配對交易,370.48,42400.0,15708352.0
2023-06-20,2317,鴻海,配對交易,112.25,892000.0,100127000.0
2023-06-20,2330,台積電,配對交易,582.56,151000.0,87966560.0
2023-06-20,2330,台積電,配對交易,582.54,222000.0,129323880.0
2023-06-20,2360,致茂,配對交易,259.16,260000.0,67381600.0
2023-06-20,2360,致茂,配對交易,259.15,360000.0,93294000.0
2023-06-20,2395,研華,配對交易,409.28,38000.0,15552640.0
2023-06-20,2395,研華,配對交易,409.27,38000.0,15552260.0
2023-06-20,2454,聯發科,配對交易,709.0,2000000.0,1418000000.0
2023-06-20,2939,永邑-KY,配對交易,34.0,500000.0,17000000.0
2023-06-20,3008,大立光,配對交易,2167.5,14000.0,30345000.0
2023-06-20,3023,信邦,配對交易,369.75,100000.0,36975000.0
2023-06-20,3056,富華新,配對交易,53.7,900000.0,48330000.0
2023-06-20,3443,創意,配對交易,1530.0,259000.0,396270000.0
2023-06-20,3711,日月光投控,配對交易,127.25,587000.0,74695750.0
2023-06-20,4904,遠傳,配對交易,76.8,65000000.0,4992000000.0
2023-06-21,01010T,京城樂富R1,配對交易,10.03,1000000.0,10030000.0
2023-06-21,1225,福懋油,配對交易,62.5,1067000.0,66687500.0
2023-06-21,1227,佳格,逐筆交易,39.7,410000.0,16277000.0
2023-06-21,1605,華新,配對交易,46.9,8431000.0,395413900.0
2023-06-21,2330,台積電,配對交易,581.0,1430000.0,830830000.0
2023-06-21,2345,智邦,配對交易,355.75,103000.0,36642250.0
2023-06-21,2345,智邦,配對交易,355.57,182175.0,64775965.0
2023-06-21,2345,智邦,配對交易,355.55,164825.0,58603529.0
2023-06-21,2383,台光電,配對交易,240.34,69000.0,16583460.0
2023-06-21,2454,聯發科,配對交易,692.38,5604000.0,3880097520.0
2023-06-21,2609,陽明,配對交易,61.44,996000.0,61194240.0
2023-06-21,2885,元大金,配對交易,26.5,618000.0,16377000.0
2023-06-21,2892,第一金,配對交易,27.92,616000.0,17198720.0
2023-06-21,2892,第一金,配對交易,27.91,1050000.0,29305500.0
2023-06-21,3023,信邦,配對交易,369.25,114000.0,42094500.0
2023-06-21,4904,遠傳,配對交易,78.5,200000.0,15700000.0
2023-06-21,4904,遠傳,配對交易,78.0,200000.0,15600000.0
2023-06-21,4904,遠傳,配對交易,77.6,250000.0,19400000.0
2023-06-21,4904,遠傳,配對交易,77.1,249000.0,19197900.0
2023-06-21,4904,遠傳,配對交易,77.0,303000.0,23331000.0
2023-06-21,4904,遠傳,配對交易,76.7,500000.0,38350000.0
2023-06-26,01003T,兆豐新光R1,配對交易,21.95,2900000.0,63655000.0
2023-06-26,1227,佳格,逐筆交易,39.95,545000.0,21772750.0
2023-06-26,1603,華電,配對交易,31.0,800000.0,24800000.0
2023-06-26,1605,華新,配對交易,46.25,8320000.0,384800000.0
2023-06-26,2308,台達電,配對交易,350.05,60000.0,21003000.0
2023-06-26,2308,台達電,配對交易,349.03,56000.0,19545680.0
2023-06-26,2330,台積電,配對交易,576.67,576000.0,332161920.0
2023-06-26,2330,台積電,配對交易,576.66,733000.0,422691780.0
2023-06-26,2330,台積電,配對交易,576.0,587000.0,338112000.0
