date,underlying,underlying_name,call_value,call_volume,call_trades,call_up_value,call_down_value,call_n,put_value,put_volume,put_trades,put_up_value,put_down_value,put_n,call_spread,call_quote_ratio,call_bidqty,call_askqty
2026-01-02,00688L,國泰20年美債正2,34420.0,320000.0,6.0,0.0,6920.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,00693U,期街口S&P黃豆,900230.0,2328000.0,34.0,0.0,887560.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,00706L,期元大S&P日圓正2(原名：元大S&P日圓正2),1412810.0,2556000.0,38.0,0.0,1078640.0,13.0,110000.0,100000.0,1.0,0.0,110000.0,1.0,,,,
2026-01-02,00708L,期元大S&P黃金正2(原名：元大S&P黃金正2),7406500.0,5177000.0,296.0,6483650.0,469700.0,53.0,212020.0,428000.0,18.0,0.0,162780.0,10.0,,,,
2026-01-02,00712,復華富時不動產,58080.0,101000.0,3.0,0.0,58080.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,00715L,期街口布蘭特正2,514850.0,515000.0,25.0,0.0,169840.0,12.0,266630.0,179000.0,7.0,85400.0,0.0,5.0,,,,
2026-01-02,00738U,期元大道瓊白銀(原名：元大道瓊白銀),21579320.0,9622000.0,701.0,20626410.0,732980.0,41.0,1065740.0,2123000.0,67.0,91400.0,974340.0,10.0,,,,
2026-01-02,00752,中信中國50,21900.0,37000.0,5.0,21900.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,00753L,中信中國50正2,1136780.0,1094000.0,49.0,912310.0,0.0,9.0,11000.0,20000.0,1.0,0.0,0.0,1.0,,,,
2026-01-02,00757,統一FANG+,158140.0,107000.0,9.0,0.0,30580.0,3.0,116000.0,80000.0,2.0,0.0,0.0,1.0,,,,
2026-01-02,00763U,期街口道瓊銅,3744480.0,2027000.0,167.0,3616220.0,100910.0,27.0,18000.0,25000.0,1.0,0.0,18000.0,1.0,,,,
2026-01-02,00830,國泰費城半導體,516590.0,159000.0,32.0,241600.0,2690.0,8.0,63860.0,72000.0,13.0,0.0,0.0,4.0,,,,
2026-01-02,00852L,國泰美國道瓊正2,41000.0,50000.0,1.0,0.0,41000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,00878,國泰永續高股息,1240.0,1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,00881,國泰台灣科技龍頭,3600.0,2000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,00882,中信中國高股息,24400.0,30000.0,2.0,0.0,8800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,00885,富邦越南,2222160.0,1316000.0,54.0,38480.0,1469110.0,13.0,5480.0,7000.0,2.0,0.0,5480.0,1.0,,,,
2026-01-02,00895,富邦未來車,22500.0,10000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,00919,群益台灣精選高息,508000.0,300000.0,2.0,0.0,0.0,1.0,1170.0,1000.0,1.0,0.0,0.0,1.0,,,,
2026-01-02,1101,台泥,7103820.0,11820000.0,240.0,0.0,6416000.0,28.0,111510.0,97000.0,3.0,111510.0,0.0,2.0,,,,
2026-01-02,1102,亞泥,175640.0,326000.0,15.0,10230.0,165410.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1210,大成,4900.0,35000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1216,統一,1024150.0,1101000.0,65.0,0.0,1009200.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1301,台塑,1392960.0,2860000.0,133.0,0.0,1247470.0,44.0,42670.0,177000.0,19.0,42670.0,0.0,4.0,,,,
2026-01-02,1303,南亞,32915580.0,25346000.0,1195.0,6790.0,32094630.0,148.0,567460.0,491000.0,31.0,294640.0,144420.0,13.0,,,,
2026-01-02,1304,台聚,1110.0,2000.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1307,三芳,3600.0,6000.0,2.0,0.0,3600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1312,國喬,819430.0,1332000.0,28.0,0.0,813430.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1319,東陽,841060.0,1246000.0,48.0,127480.0,461930.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1326,台化,1978510.0,3241000.0,109.0,0.0,1421800.0,27.0,5920.0,4000.0,4.0,0.0,0.0,1.0,,,,
2026-01-02,1409,新纖,418900.0,661000.0,14.0,227790.0,184010.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1419,新紡,21280.0,12000.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1476,儒鴻,553400.0,811000.0,28.0,268570.0,284830.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1477,聚陽,507940.0,631000.0,26.0,0.0,386580.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1503,士電,622260.0,1746000.0,43.0,18200.0,412820.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1504,東元,3244340.0,5793000.0,251.0,97230.0,1517170.0,49.0,59150.0,44000.0,10.0,0.0,18060.0,4.0,,,,
2026-01-02,1513,中興電,666290.0,1430000.0,60.0,0.0,406520.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1514,亞力,822830.0,2025000.0,46.0,25410.0,414420.0,18.0,2900.0,2000.0,2.0,0.0,0.0,1.0,,,,
2026-01-02,1519,華城,14808660.0,16874000.0,804.0,210030.0,13680090.0,90.0,408530.0,418000.0,18.0,17420.0,0.0,5.0,,,,
2026-01-02,1522,堤維西,50380.0,65000.0,9.0,0.0,50380.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1536,和大,87780.0,227000.0,18.0,62640.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1560,中砂,35647120.0,24114000.0,1009.0,34329650.0,173360.0,140.0,437590.0,766000.0,59.0,0.0,375430.0,11.0,,,,
2026-01-02,1563,巧新,34800.0,130000.0,3.0,0.0,34800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1582,信錦,93000.0,200000.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1590,亞德客-KY,2899160.0,2031000.0,92.0,1134310.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1605,華新,24783730.0,13922000.0,942.0,19684180.0,477010.0,127.0,135210.0,130000.0,9.0,0.0,118550.0,5.0,,,,
2026-01-02,1608,華榮,3452960.0,2518000.0,144.0,2258110.0,330810.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1609,大亞,458130.0,934000.0,51.0,240780.0,2400.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1615,大山,50.0,1000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1616,億泰,40120.0,108000.0,6.0,38610.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1618,合機,12740.0,146000.0,6.0,1240.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1708,東鹼,158500.0,150000.0,2.0,158500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1710,東聯,41730.0,278000.0,7.0,0.0,41730.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1711,永光,2224060.0,3492000.0,114.0,502230.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1717,長興,6225480.0,3548000.0,188.0,5427810.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1736,喬山,49000.0,200000.0,2.0,0.0,49000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1773,勝一,369100.0,451000.0,25.0,246960.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1786,科妍,0.0,0.0,0.0,0.0,0.0,0.0,13360.0,8000.0,1.0,0.0,0.0,1.0,,,,
2026-01-02,1795,美時,4618820.0,3798000.0,190.0,2919470.0,843140.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,1802,台玻,3159660.0,2282000.0,184.0,2317380.0,106690.0,53.0,155720.0,479000.0,11.0,0.0,141940.0,4.0,,,,
2026-01-02,2002,中鋼,1164300.0,2535000.0,83.0,0.0,1106520.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2009,第一銅,3797650.0,3324000.0,218.0,2349670.0,984100.0,44.0,154880.0,292000.0,9.0,0.0,154880.0,2.0,,,,
2026-01-02,2014,中鴻,671000.0,1729000.0,47.0,0.0,669350.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2027,大成鋼,2749300.0,3847000.0,119.0,403970.0,1662620.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2034,允強,399770.0,994000.0,28.0,0.0,399770.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026-01-02,2049,上銀,2943910.0,4872000.0,106.0,2079430.0,231890.0,34.0,63650.0,59000.0,2.0,0.0,62640.0,2.0,,,,
2026-01-02,2059,川湖,23962790.0,30516000.0,1518.0,0.0,20918960.0,149.0,1589600.0,2417000.0,110.0,1006450.0,0.0,22.0,,,,
