date,underlying,underlying_name,call_value,call_volume,call_trades,call_up_value,call_down_value,call_n,put_value,put_volume,put_trades,put_up_value,put_down_value,put_n
2024-07-01,1618,合機,0.0,0.0,0.0,0.0,0.0,0.0,162600.0,80000.0,3.0,0.0,0.0,1.0
2024-07-01,1773,勝一,20880.0,58000.0,5.0,20880.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,1795,美時,404520.0,592000.0,24.0,330340.0,0.0,7.0,220230.0,135000.0,16.0,0.0,220010.0,4.0
2024-07-01,1808,潤隆,20650.0,59000.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,2009,第一銅,103800.0,157000.0,3.0,0.0,0.0,2.0,19980.0,26000.0,4.0,0.0,19980.0,2.0
2024-07-01,2049,上銀,0.0,0.0,0.0,0.0,0.0,0.0,784240.0,295000.0,7.0,44540.0,0.0,4.0
2024-07-01,2059,川湖,865180.0,1406000.0,57.0,1180.0,721000.0,5.0,177380.0,209000.0,8.0,120280.0,0.0,6.0
2024-07-01,2204,中華,367550.0,539000.0,12.0,291970.0,0.0,3.0,8560.0,11000.0,2.0,0.0,1460.0,2.0
2024-07-01,2206,三陽工業,0.0,0.0,0.0,0.0,0.0,0.0,1130.0,1000.0,1.0,0.0,1130.0,1.0
2024-07-01,2211,長榮鋼,56290.0,109000.0,4.0,0.0,56290.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,2301,光寶科,516750.0,1269000.0,22.0,424950.0,0.0,3.0,524720.0,985000.0,29.0,0.0,516370.0,3.0
2024-07-01,2303,聯電,607130.0,546000.0,37.0,563790.0,0.0,4.0,4543490.0,5786000.0,192.0,0.0,4535670.0,14.0
2024-07-01,2308,台達電,1805720.0,1794000.0,58.0,888770.0,32100.0,7.0,266150.0,727000.0,19.0,28750.0,226900.0,4.0
2024-07-01,2312,金寶,0.0,0.0,0.0,0.0,0.0,0.0,120160.0,83000.0,6.0,0.0,0.0,2.0
