date,code,name,verdict,score,streak,vol_mult,buy_days,sell_days,call_net_win,call_val_win,put_call_win,buy_ratio,blk_n,blk_value,blk_last,blk_dir,blk_wdir,blk_prem,blk_inst_ratio,window,win_len
2026-07-02,2454,聯發科,unclear,1.8280524562097307,4,0.5122831648470368,4,1,13893050.0,234340920.0,0.025188430599316584,0.42870133322710224,9,16147968250.0,2026-07-02,neutral,-0.10788964890366316,-0.00021030326451581448,-3.5555344858942237,5,5.0
2026-07-02,2461,光群雷,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,47564500.0,2026-07-01,buy,0.5,0.11143695014662747,-0.026487730345110327,5,5.0
2026-07-02,2506,太設,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,7673670.0,2026-06-29,neutral,0.0,0.0,0.05154639175257731,5,5.0
2026-07-02,2528,皇普,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,21000000.0,2026-07-01,neutral,0.0,-0.06249999999999989,0.65616,5,5.0
2026-07-02,2834,臺企銀,unclear,0.5126159200390468,1,0.5126159200390468,2,3,104190.0,688190.0,0.0,1.0,1,8150000.0,2026-06-29,neutral,0.0,-0.0842696629213483,21.322764147239265,5,5.0
2026-07-02,2845,遠東銀,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,140290701.0,2026-07-02,sell,-0.5,-0.020000000000000018,0.30519128990595035,5,5.0
2026-07-02,2881,富邦金,unclear,0.0,0,0.6205997219752162,1,4,-13894400.0,21240820.0,0.0,0.0,4,3023564850.0,2026-07-01,buy,0.2784656413107858,0.011859342940119172,0.9167036567778594,5,5.0
2026-07-02,2882,國泰金,unclear,0.0,0,0.26998754642909756,1,4,-25349920.0,32759170.0,0.10136062665812351,0.07245338025843706,3,4181750900.0,2026-07-01,neutral,-0.24272129647894616,0.0002637474173796437,-0.5678691869235922,5,5.0
2026-07-02,2882A,國泰特,unclear,0.0,0,,0,0,0.0,0.0,,0.0,1,24988500.0,2026-06-29,neutral,0.0,-0.003231017770597644,0.00495427896832543,5,5.0
2026-07-02,2883,凱基金,unclear,0.0,0,0.3823144522969665,1,4,-9325370.0,22585180.0,0.0,0.06378649329379506,4,329992625.0,2026-07-01,buy,0.3172355745829168,-0.0392305801490635,2.7069010761982937,5,5.0
2026-07-02,2885,元大金,unclear,0.04634279694355172,2,0.04634279694355172,2,3,-2314740.0,3909600.0,0.0,0.6054327808471455,2,44040900.0,2026-07-01,sell,-0.5,-0.0035622156181681743,-18.708799023180724,5,5.0
2026-07-02,2886,兆豐金,unclear,0.0,0,0.7216508305785859,1,4,-1511220.0,2416480.0,0.0,0.0,1,20929400.0,2026-07-01,buy,0.5,-0.0010834236186347823,16.599894409299836,5,5.0
