date,window,code,name,verdict,score,blk_dir,blk_wdir,blk_prem,blk_inst_ratio,streak,vol_mult,buy_days,sell_days,call_net_win,call_val_win,put_call_win,buy_ratio,blk_n,blk_value,blk_last,win_len,wq,call_spread,call_quote_ratio
2026-07-02,10,2383,台光電,hedge_suspect,0.4209675260008981,sell,-0.4717003142203315,-0.0063526162766685,0.4461933050717048,2,0.3984173541383346,6,4,14316200.0,50114180.0,0.0033641177008184,0.4245685143955395,2,966964800.0,2026-06-29,10.0,,,
2026-07-02,10,2395,研華,lean_buy,12.028745062481049,buy,0.7935513105615778,0.0053673887774189,4.346384874135411,4,1.6766658683874978,7,3,27797130.0,67480480.0,0.0,0.5618290694370669,6,356165981.0,2026-06-29,10.0,,,
2026-07-02,10,2408,南亞科,sell_avoid,0.0,sell,-0.2654267834398365,0.0076964468986931,5.3688730258839445,0,0.6880463780912334,5,5,-158860330.0,1127513040.0,0.0257568994501385,0.0,5,777050757.0,2026-06-29,10.0,,,
2026-07-02,10,2412,中華電,unclear,0.0,sell,-0.5,0.0,-31.47268309859155,0,0.3427497732279383,1,8,-619040.0,685730.0,0.0,0.0,1,20093000.0,2026-07-01,10.0,,,
2026-07-02,10,2449,京元電子,hedge_suspect,0.1377312045486696,sell,-0.8877913929769624,-0.0422805422258091,40.034936348397615,1,1.2274566827158986,6,4,42277020.0,409217690.0,0.0066064837030872,0.5305085624038265,4,136194686.0,2026-06-30,10.0,,,
2026-07-02,10,2454,聯發科,unclear,2.0443300503581043,neutral,-0.0617873295934332,-0.0001056579780989,-5.380995639370938,4,0.5447405782401687,6,4,2862060.0,465292110.0,0.0182339863876049,0.4287013332271022,14,17865452873.0,2026-07-02,10.0,,,
2026-07-02,10,2461,光群雷,unclear,0.0,buy,0.5,0.1114369501466274,-0.0264877303451103,0,,0,0,0.0,0.0,,0.0,1,47564500.0,2026-07-01,10.0,,,
2026-07-02,10,2506,太設,unclear,0.0,neutral,0.0,0.0,0.0373930552200608,0,,0,0,0.0,0.0,,0.0,2,12460870.0,2026-06-29,10.0,,,
2026-07-02,10,2528,皇普,unclear,0.0,neutral,0.0,-0.0624999999999998,0.65616,0,,0,0,0.0,0.0,,0.0,1,21000000.0,2026-07-01,10.0,,,
2026-07-02,10,2536,宏普,unclear,0.0,neutral,0.0,0.1267605633802817,-0.6695469047619048,0,,0,0,0.0,0.0,,0.0,1,15120000.0,2026-06-22,10.0,,,
2026-07-02,10,2603,長榮,unclear,0.0,buy,0.3283733467559827,-0.0034061321226463,5.696698561748463,0,0.6513955345720809,3,7,-16233410.0,51843250.0,0.000715040048608,0.0749710989500929,3,147333060.0,2026-06-22,10.0,,,
2026-07-02,10,2610,華航,lean_buy,1.0087232646294395,buy,0.5,0.0,7.194652962962963,1,0.6724821764196263,6,4,24012450.0,103162500.0,0.0,0.917067742384198,1,59400000.0,2026-06-18,10.0,,,
2026-07-02,10,2633,台灣高鐵,unclear,0.0,neutral,0.0,0.0,-0.0324974554707379,0,0.0,0,3,-255140.0,354140.0,0.0,0.0,1,20553900.0,2026-06-18,10.0,,,
2026-07-02,10,2812,台中銀,unclear,0.0,sell,-0.5,0.0,-1.019846,0,,0,0,0.0,0.0,,0.0,1,29700000.0,2026-06-18,10.0,,,
2026-07-02,10,2834,臺企銀,unclear,0.5126159200390468,neutral,0.0,-0.0842696629213483,21.322764147239265,1,0.5126159200390468,5,5,234290.0,1600710.0,0.0,1.0,1,8150000.0,2026-06-29,10.0,,,
